title,summary,status,location_name,country,scale,solution_types,challenges_addressed,health_linkages_primary,impacts,governance,url_source,environmental_context
Agora Budapest: the new citycenter,"Agora Budapest is a large scale urban redevelopment project initiated by private investors. The project involves the creation of green public spaces, green roofs, parks and tree lines, all of which will be irrigated using collected rainwater. The project also includes the installation of solar panels on the roofs of the buildings.",ongoing,Budapest,Hungary,neighborhood,"['urban redevelopment', 'green public spaces', 'green roofs', 'parks', 'tree lines', 'rainwater irrigation', 'solar panels']","['green space creation and/or management', 'regeneration, land-use and urban development', 'economic development: service sectors']",[],"['improved stormwater management', 'increased green space area', 'increase of green jobs', 'attraction of business and investment']","Led by non-government actors, private sector/corporate actor/company",unknown,urban
Agrarian Park of Baix Llobregat,"The Parc Agrari del Baix Llobregat is located in the floodplains of the delta and lower valley of the river Llobregat, in the Catalan county of Baix Llobregat, within the metropolitan area of Barcelona. The park promotes specific programs to preserve the productive values of the agricultural space and promotes quality local products and local consumption. The goals of the Special Plan for the Protection and Improvement of the Agrarian Park is to promote the expansion of sustainable agricultural production, preserving the natural habitat and its biological value and prevent harmful infrastructural expansion in the green area.",ongoing,Baix Llobregat,Spain,regional,"['community gardens and allotments', 'parks and urban forests', 'large urban parks or forests']","['green space, habitats and biodiversity', 'regeneration, land-use and urban development', 'health and well-being', 'inclusive and effective governance', 'social justice, cohesion and equity', 'economic development and employment', 'sustainable consumption and production']","['enabling opportunities for physical activity', 'improving mental health', 'creation of opportunities for recreation']","['reduced emissions', 'improved air quality', 'improved soil quality', 'enhanced protection and restoration of coastal and marine ecosystems', 'increased green space area', 'increased conservation or restoration of ecosystems', 'increased ecological connectivity across regeneration sites and scales', 'increased conversion of degraded land or soil', 'reduced biodiversity loss', 'increased number of species present', 'improved prevention or control of invasive alien species', 'increased spread of native/heirloom/open-pollinated seed']",The Consortium for the Protection and Handling of Natural Spaces of the Llobregat Delta in cooperation with the Municipality of Barcelona and other local municipalities,unknown,agricultural
Agriculture in Capodimonte forest,"The project involves the regeneration of green historical urban areas and recovering archaeological parks in Naples, Italy. The company Slow Food Campania cultivated a small vegetable garden to enhance a variety of cultivation and biodiversity conservation. The project was supported by the company Lande srl, specialized in the revitalization of historical green areas at the urban level.",ongoing,Capodimonte forest,Italy,neighborhood,"['community gardens', 'large urban parks or forests']","['green space creation and/or management', 'sustainable production']",[],"['increased green space area', 'reduced biodiversity loss', 'increased involvement of locals in the management of green spaces', 'increased sustainability of agriculture practices', 'increased support for education and scientific research', 'increased knowledge of locals about local nature']","The project was implemented by the regional direction for the cultural heritage of Campania (Direzione Regionale per i beni culturali a paesaggistici della Campania), a central regional body of the region, which relates to protection of the cultural and environmental heritage of the region. The private company Slow Food provided means and expertise in the development of the project of cultivation in the chosen area.",unknown,urban
Agriparc of Mas Nouguier,"The Agriparc of Mas Nouguier is an agricultural reserve maintained by the city of Montpellier. The estate contributes to the preservation of the territory's identity and the valorization of the living environment. It offers a beautiful walk in the middle of the vineyards and is used for educational workshops. The project also has a social vocation, creating 13 jobs with employment of 80% of persons with disabilities.",completed,Montpellier,France,neighborhood,"['urban parks or forests', 'community gardens and allotments', 'horticulture', 'blue infrastructure']","['climate change mitigation', 'water management', 'habitat and biodiversity conservation', 'soil quality improvement', 'social justice and equity', 'environmental education', 'economic development', 'preservation of natural heritage', 'sustainable consumption and production']",['creation of opportunities for recreation'],"['reduced emissions', 'improved soil quality', 'improved stormwater management', 'increased number of protection areas', 'increased green space area', 'increased conservation or restoration of ecosystems', 'increase in protected green space areas', 'increased conversion of degraded land or soil', 'reduced biodiversity loss', 'enhanced support of pollination', 'restoration of derelict areas', 'increase of green jobs', 'more sustainable tourism', 'increase in agricultural production', 'generation of income from nbs', 'improved social cohesion', 'fair distribution of social, environmental and economic benefits of the nbs project', 'improved access to urban green space', 'increased visibility and opportunity for marginalised groups or indigenous peoples', 'increased opportunities for social interaction', 'increased access to healthy/affordable food', 'increased sustainability of agriculture practices', 'improved physical health', 'gain in activities for recreation and exercise', 'protection of natural heritage', 'protection of historic and cultural landscape / infrastructure', 'increased sense of place identity, memory and belonging', 'increased awareness of flora and fauna as culturally and historically meaningful', 'increased support for education and scientific research', 'increased knowledge of locals about local nature', 'increased awareness of nbs and their benefits']","Co-governance with government and non-government actors. The city council is in charge of maintenance, it is to the landscaping company Ardéchoise, 'Les Jardins de Provence' that comes the layout.",unknown,urban
Agro-didactical park Salvatore Buglione,"The didactic park Salvatore Buglione in Naples, Italy, links its agricultural tradition and presence of plants and trees with social and cultural innovation. The park promotes civic and eco-functions, such as didactic lessons, active participation in cultivation and plantation of plants, and readings. The project is part of the city's plan to allocate 2 million euros to regenerate the green areas.",ongoing,Napoli,Italy,city,"['parks and urban forests', 'pocket parks/neighbourhood green spaces']","['social justice, cohesion and equity', 'environmental education', 'social cohesion', 'social interaction', 'sustainable consumption and production']",[],"['decreased crime rates', 'improved social cohesion', 'improved access to urban green space', 'increased knowledge of locals about local nature']","Co-governance with government and non-government actors. The park was inaugurated by the municipality of Napoli, with several non-profit associations collaborating to implement the didactical activities.",unknown,urban
Air Pollution Garden,"The Air Pollution Garden (APG) in Sheffield, UK, is a project aimed at raising public awareness of air pollution effects. The garden contains plants that are sensitive to pollutants like nitrogen dioxide and ozone. The project also aims to educate the public about air pollution and its effects on plants, and serve as a blueprint for establishing more air pollution gardens across the UK.",completed,Sheffield Botanical Gardens,United Kingdom,neighborhood,"['parks and urban forests', 'botanical gardens', 'community gardens and allotments']","['air quality improvement', 'green space creation and/or management', 'environmental education']",['creation of opportunities for recreation'],"['reduced emissions', 'improved air quality', 'increased green space area', 'improved access to urban green space', 'increased support for education and scientific research', 'increased knowledge of locals about local nature', 'increased awareness of nbs and their benefits']","The project was established by the University of Sheffield, the University of York and the University of Leeds, together with the Air Aware team at Sheffield City Council.",unknown,urban
Air quality project at Hunters Bar Infant School (BREATHE),"This project started as a grassroots movement by Hunter’s Bar Infant School (HBIS) in Sheffield to protect children from air pollution. A green barrier was created in the playground in collaboration with the University of Sheffield. The project is part of a larger study called BREATHE, which provides the science behind the project, including the design of the green barrier, the assessment of its impacts, and a feasibility evaluation for installing green barriers in other schools.",ongoing,Sheffield,United Kingdom,city,"['green barriers', 'air quality improvement']","['air pollution', 'environmental education', 'improving physical health']",['improved physical health'],"['improved air quality', 'increased green space area', 'improved physical health', 'improved mental health', 'increased support for education and scientific research', 'increased knowledge of locals about local nature', 'increased awareness of nbs and their benefits']",The initiator of the NBS is Hunters Bar Infant School who partnered with the University of Sheffield Hunters to implement the NBS. The University provided the scientific knowledge and monitored the levels of Nitrogen Dioxide (NO2) and Particulate Matter (PM10 and PM2.5) from the school playground. The School provided the land and helped in implementing the NBS by funding for it (50 business contributed) and putting out a call for volunteers to plant the species selected.,unknown,urban
Al-Muntazah 2 Neighborhood Tree Planting,"The project is part of the 100 Million Trees Initiative launched by the president of Egypt to address environmental challenges and climate changes. In 2023, 812 trees and shrubs were planted in the Al-Muntazah 2 Neighborhood to increase green spaces, improve air quality, reduce greenhouse gases, and encourage social activities. The initiative also aims to achieve economic benefits from the trees.",completed,"Al-Muntazah 2 Neighborhood, Alexandria",Egypt,neighborhood,"['tree planting', 'green space creation']","['urban heat island effect', 'air pollution', 'lack of green spaces']","['improved air quality', 'reduced heat stress', 'improved physical health']","['increased green space area', 'improved air quality', 'improved access to urban green space']",The project is part of the 100 Million Trees Initiative launched by the Egyptian Government. The Ministry of Local Development allocated the funds to support the implementation of the initiative. The Governor of Alexandria is responsible for taking care of the green spaces within the scope of Alexandria's neighborhoods and centers.,unknown,urban
Al-Nasr Youth Center Seed Planting,"The Al-Nasr Youth Center Seed Planting project is part of the larger EGYouth4Climate Caravan Initiative in Egypt. The project aims to raise climate change awareness among children and young people, provide them with a platform to express their opinions, educate them about the importance of trees, and offer hands-on learning through planting workshops. The initiative was launched by Egypt's Ministry of Youth and Sports and Ministry of Environment with support from UNICEF, the United Nations in Egypt, USAID, and the Embassy of Switzerland.",completed,Alexandria,Egypt,city,"['environmental education', 'reforestation', 'green space creation']","['climate change', 'environmental stewardship', 'knowledge creation']",[],"['increased green space area', 'increased opportunities for social interaction', 'increased support for education and scientific research', 'increased knowledge of locals about local nature']","Co-governance with government and non-government actors. The project was implemented by Egypt's Ministry of Youth and Sports and Ministry of Environment with support from UNICEF, the United Nations in Egypt, USAID, and the Embassy of Switzerland. The Al-Nasr Youth Center hosted the event.",unknown,urban
Al-Samad Preparatory and Secondary Schools Tree Planting,"As part of the national '100 Million Trees Initiative', 596 trees were planted in the Al-Muntazah 2 neighborhood, including the Al-Samad Preparatory and Secondary Schools campus. The project aimed to increase green spaces, improve air quality, reduce greenhouse gases, and enhance public health and social activities. The tree species were chosen for their adaptability to the local climate and their environmental and aesthetic benefits.",completed,"Al-Muntazah 2 neighborhood, Alexandria",Egypt,city,"['tree planting', 'green space creation']","['environmental pollution', 'urban heat island effect', 'greenhouse gases', 'lack of green spaces']","['improved air quality', 'improved general health of citizens']","['increased green space area', 'improved air quality', 'enhanced carbon sequestration']","The project was part of the 100 Million Trees Initiative launched by the Egyptian Government. The Ministry of Local Development allocated the funds, and the Ministry of the Environment identified the types of trees to be planted. The Governor of Alexandria and the parks department were responsible for the implementation at the local level.",unknown,urban
Alameda Main Road,"The rehabilitation of the main road Alameda Principal in Malaga, Spain aims to invert the previous distribution of space that was primarily devoted to car usage. The project will create more public spaces, green areas, walks, bike lanes and leisure facilities. It also prioritizes highlighting the identity of this area of the city and its architectural elements, patrimonial, wooded vault and cultural links.",ongoing,"Alameda Principal, Malaga",Spain,neighborhood,"['green areas', 'sustainable urban drainage systems', 'street vegetation']","['water management', 'stormwater and rainfall management and storage', 'green space creation and/or management', 'regulation of built environment', 'social justice and equity', 'enabling opportunities for physical activity', 'preservation of natural heritage', 'protection of historic and cultural landscape/infrastructure']","['physical activity', 'recreation']","['improved stormwater management', 'increased green space area', 'improved social cohesion', 'improved access to urban green space', 'increased opportunities for social interaction', 'increased involvement of locals in the management of green spaces', 'protection of natural heritage', 'protection of historic and cultural landscape / infrastructure', 'increased sense of place identity, memory and belonging', 'increased awareness of flora and fauna as culturally and historically meaningful']","Local government of Malaga: Coordination of the project. Municipal Management of Urbanism, Works and Infrastructures (within the local government): Implementation of project. Junta de Andalucia (regional government): assuming redevelopment of northern section of project. Arrabal-AID Association (social, non-profit organization): project support. Verosa company (construction company): contractor for renewing existing sanitation infrastructures in the subsoil. Acciona (infrastructure company), Sando (construction company): laying of the flooring.",unknown,urban
Alder Hey in the Park,"This project involves the creation of an environmentally sustainable hospital in Liverpool, with over 50% of its energy generated on-site. The hospital features green roofs and play decks for children, with three state-of-the-art aquaponic systems installed by Farm Urban to grow food for ward meals. The hospital was designed to integrate with the park for the therapeutic benefit of children, their families, and staff.",completed,"Springfield Park, Liverpool",United Kingdom,city,"['green roofs', 'aquaponic systems', 'nature on buildings']","['green space creation and/or management', 'health and well-being', 'sustainable production']","['improving mental health', 'improving physical health']","['increased green space area', 'improved access to urban green space', 'increased access to healthy/affordable food', 'improved physical health', 'improved mental health']","The project was part of the ACORN consortium with John Laing Social Infrastructure and Interserve Facilities Management. The hospital was designed by architects, landscape architects, and interior designers, BDP.",unknown,urban
Alexandria Water Company Green Roof Campaign,"The Alexandria Water Company initiated a public awareness campaign in 2023 to promote the benefits of green roofs. The campaign aims to extend the longevity of buildings, lower energy consumption, improve air quality, increase biodiversity, manage rainwater runoff, and mitigate the urban heat island effect. The company has begun planting green roofs across its facilities, including the new Al-Mashishya water station.",ongoing,"Alexandria Governorate, Alexandria",Egypt,city,['green roofs'],"['urban heat island effect', 'air pollution', 'urban flooding', 'rapid urbanization']",['improved air quality'],"['increased protection against flooding', 'improved air quality', 'increased green space area', 'increased support for education and scientific research', 'increased awareness of nbs and their benefits']","The campaign is run by the Alexandria Water Company in cooperation with the West and North Coast Production and Distribution Sector, the Nurseries Department, and the Alexandria Water Company's Awareness Department.",unknown,urban
Alicante coastal corridor,"The project aims to recover the coastal line of Alicante, from El Campello to Elx, through the development of a sustainable coastal corridor. The project includes the creation of new multi-purpose public spaces promoting biodiversity and accessibility. The project is currently in the planning stage and is expected to enhance local safety and sustainability by integrating new interventions into existing waterfront infrastructure.",planned,Alicante,Spain,regional,"['coastal corridor', 'public greenspace', 'ecological corridor']","['water management', 'flood protection', 'coastal resilience and marine protection', 'green space creation and/or management', 'regeneration, land-use and urban development', 'economic development', 'tourism support', 'cultural heritage and cultural diversity']","['physical activity', 'recreation']","['reduced emissions', 'increased protection against flooding', 'enhanced protection and restoration of coastal and marine ecosystems', 'promotion of naturalistic styles of landscape design for urban development', 'increased green space area', 'reduced biodiversity loss', 'increased ecological connectivity across regeneration sites and scales', 'more sustainable tourism', 'increased perception of safety', 'improved social cohesion', 'improved liveability', 'improved access to urban green space', 'increased opportunities for social interaction', 'improved physical health', 'improved mental health', 'gain in activities for recreation and exercise', 'improvement in people’s connection to nature', 'protection of historic and cultural landscape / infrastructure', 'increased sense of place identity, memory and belonging', 'increased appreciation for natural spaces']",The Municipal Tourist and Beaches Board of Alicante and the Urban planning Councillorship of Alicante Town Hall,unknown,coastal
All Shaheed Park,"All Shaheed Park is the largest park in Kuwait, designed to include green spaces, buildings with green roofs, and an artificial lake. The park was built to protect the city from sandstorms, reduce air pollution, and provide a green belt around the city. It also serves as a cultural hub, providing high-quality programs, events, and spaces to educate the public on the importance of the country’s land, history, and environment.",ongoing,Kuwait City,Kuwait,neighborhood,"['green roofs', 'parks and urban forests', 'lakes/ponds']","['climate change adaptation', 'air quality improvement', 'habitat and biodiversity conservation', 'green space creation and/or management', 'preservation of natural heritage', 'environmental education']",[],"['improved water quality', 'reduced risk of damages by drought', 'increased green space area', 'reduced biodiversity loss', 'increased number of species present', 'attraction of business and investment', 'protection of natural heritage', 'increased sense of place identity, memory and belonging', 'increased knowledge of locals about local nature', 'increased awareness of nbs and their benefits']",The intervention was developed by Al Diwan Al Amiri and managed by Loyac. The permission of the Municipal Council was needed but the main work was conducted by Loyac and Al Diwan Al Amiri.,unknown,urban
Allotment Gardens in Hannover,"The project aims to protect the allotment gardens in Hannover from disappearance due to investment interests. It involves conducting extensive inventory examinations on areas affected by conversion and restructuring, implementing smaller development projects for housing, and creating replacement gardens. The project also focuses on modernizing allotments and optimizing spaces.",ongoing,Hannover,Germany,city,"['parks and urban forests', 'green corridors and green belts', 'community gardens and allotments']","['green space, habitats and biodiversity', 'environmental quality', 'regeneration, land-use and urban development', 'social justice, cohesion and equity', 'health and well-being', 'sustainable consumption and production']",['creation of opportunities for recreation'],"['improved air quality', 'improved soil quality', 'increased green space area', 'reduced biodiversity loss', 'increased protection of threatened species', 'improved social cohesion', 'improved liveability', 'improved access to urban green space', 'increased opportunities for social interaction', 'increased involvement of locals in the management of green spaces', 'increased access to healthy/affordable food', 'gain in activities for recreation and exercise', 'protection of historic and cultural landscape / infrastructure', 'increased knowledge of locals about local nature']",Co-governance with government and non-government actors. The concept was developed by the association of the allotment gardens and the municipality.,unknown,urban
Alna Environmental Park,"The large-scale project of opening up rivers that previously were running in underground pipes in Oslo, Norway. Alna Environmental Park is a part of this project and includes major transformation and environmental upgrade of the river Alna. The park runs along the river and has transformed grey structures to accessible parks and recreation areas. The project aims to improve the self-cleaning ability of Alna, maintain biodiversity in the region and inspire future urban development.",ongoing,Oslo,Norway,regional,"['public greenspace area', 'riverbank/lakeside greens', 'large urban parks or forests', 'green corridors and green belts', 'rivers/streams/canals/estuaries']","['climate action for adaptation, resilience and mitigation', 'water management', 'flood protection', 'stormwater and rainfall management and storage', 'improvements to water quality', 'habitat and biodiversity restoration', 'green space creation and/or management', 'regeneration, land-use and urban development', 'health and well-being']",['creation of opportunities for recreation'],"['strengthened capacity to address climate hazards/natural disasters', 'improved water quality', 'increased protection against flooding', 'improved stormwater management', 'enhanced protection and restoration of freshwater ecosystems', 'promotion of naturalistic styles of landscape design for urban development', 'increased green space area', 'increased conservation or restoration of ecosystems', 'gain in activities for recreation and exercise', 'protection of historic and cultural landscape / infrastructure']",Oslo municipality has been responsible for planning and developing the park. The project has also involved a task force of six political representatives from different parties. Norwegian Environment Agency co-leads initiative with municipality and compiles knowledge related to Alna restoration. NGO: 'Alnaelvas venner' Friends of River Alna' have been involved in the development of the project too.,unknown,urban
Ameixoeira Valley Urban Park,"The Ameixoeira Valley Urban Park is a part of Lisbon's Peripheral Green Corridor, covering 20 hectares to enhance the city's ecological and social resilience. The park includes recreational facilities and supports community-based vegetable gardens. It has undergone requalification initiatives, including tree planting projects to promote biodiversity and environmental sustainability. The park also planted drought-resistant trees to mitigate climate change impacts.",completed,"Olival Basto, Lisboa",Portugal,neighborhood,"['urban parks', 'community gardens', 'urban forests', 'biodiversity restoration', 'climate change adaptation']","['climate change adaptation', 'biodiversity loss', 'urban heat', 'water scarcity', 'community disconnection', 'lack of accessible green spaces']","['recreation', 'community engagement']","['lowered local temperature', 'reduced risk of damages by drought', 'reduced biodiversity loss', 'increased number of species present', 'gain in activities for recreation and exercise', 'improvement in people’s connection to nature']","The project is primarily led by GEBALIS, a government association, and the Lisbon City Council. The Participatory Budget of Lisbon also contributed to the project’s development.",unknown,urban
Angkor Botanical Garden,"Angkor Botanical Garden is Cambodia's first botanical garden, located in Siem Reap. It was developed by APSARA National Authority with multiple benefits including preventing forest land encroachment, conservation of natural resources, development of tourism, and preservation of rare and endemic plants. The garden was initially a 2-hectare spice garden, which has been transformed into a 15-hectare garden with an automatic irrigation system linked to the Siem Reap River and landscaped with hills, ponds, canals, and waterfalls.",completed,Siem Reap,Cambodia,neighborhood,"['public greenspace', 'botanical gardens', 'biodiversity conservation', 'green space creation and/or management', 'preservation of natural heritage', 'creation of opportunities for recreation', 'environmental education']","['forest land encroachment', 'conservation of natural resources', 'development of tourism', 'conservation of the angkor archaeological site', 'preservation of rare and endemic plants']","['recreation', 'relaxation']","['increased green space area', 'increased number of species present', 'increased protection of threatened species', 'more sustainable tourism', 'generation of income from nbs', 'fair distribution of social, environmental and economic benefits of the nbs project', 'improved access to urban green space', 'increased involvement of locals in the management of green spaces', 'improvement in people’s connection to nature', 'protection of natural heritage', 'increased support for education and scientific research', 'increased knowledge of locals about local nature', 'increased awareness of nbs and their benefits']",The botanical garden was developed by Apsara National Authority (ANA) – a government body tasked with managing the Angkor Archaeological Park.,unknown,urban
Anglers Country Park,"The project involved the transformation of a former opencast mine into a country park and local nature reserve. The park, which is dominated by a lake, grassland, woodland, and a wetland area, serves as a haven for wildlife and a recreational space for the community. Restoration works began with the creation of the lake and the project has since become one of the most important inland bird sites in Yorkshire.",completed,Wakefield,United Kingdom,neighborhood,"['blue infrastructure', 'lakes/ponds', 'in-land wetlands, peatlands, swamps, and moors', 'parks and urban forests', 'large urban parks or forests']","['green space, habitats and biodiversity', 'regeneration, land-use and urban development', 'water management', 'health and well-being']","['improving physical health', 'creation of opportunities for recreation']","['increased green space area', 'increased conservation or restoration of ecosystems', 'increased ecological connectivity across regeneration sites and scales', 'increased number of species present', 'increased protection of threatened species', 'restoration of derelict areas', 'improved mental health', 'improved physical health', 'gain in activities for recreation and exercise', 'increased support for education and scientific research', 'increased knowledge of locals about local nature']",The project was managed by the Council with the help of volunteers and the Friends of Haw Park Wood and Wintersett.,unknown,urban
Anita Berber park,"The 6. 5-hectare Anita Berber Park was created on the site of the former St Thomas cemetery in Berlin. The project aimed to increase species diversity, preserve valuable trees and shrubs, and provide recreational spaces. The park was planned and financed as a compensatory measure for the construction of the A100 urban highway.",completed,"Neukölln, Berlin",Germany,neighborhood,"['parks and urban forests', 'habitat conservation', 'green space creation and/or management']","['biodiversity loss', 'unequal availability and access to public green spaces', 'inadequate access to recreational opportunities']",['creation of opportunities for recreation'],"['increased green space area', 'increased conservation or restoration of ecosystems', 'restoration of derelict areas', 'improved access to urban green space']","The federal German government bought the cemetery area and gifted it to the city of Berlin. The regional government, the state authorities of Berlin, financed the planning process and were the official developers of the project. The local government of the district and district manager organised the planning and implementation process and financed the amenities in the park.",unknown,urban
"Annalinde community garden, nursery and fruit orchard","The ANNALINDE gGmbH operates multifunctional urban agriculture and demonstration projects in the Western part of Leipzig: a community garden, a nursery and a fruit garden on a former train station. The emphasis is on community development and mutual learning processes in addition to food production. This is safeguarded by an events portfolio consisting of garden working days, workshops and collaborations with schools, kindergartens and like-minded organizations.",completed,Western part of Leipzig,Germany,neighborhood,"['community gardens', 'urban agriculture', 'biodiversity conservation']","['green space', 'habitats and biodiversity', 'regeneration, land-use and urban development', 'social justice, cohesion and equity', 'economic development and employment', 'cultural heritage and cultural diversity', 'sustainable consumption and production']",[],"['improved soil quality', 'increased green space area', 'increased conservation or restoration of ecosystems', 'increased conversion of degraded land or soil', 'increased number of species present', 'enhanced support of pollination', 'restoration of derelict areas', 'increase of green jobs', 'increase in agricultural production', 'increased access to healthy/affordable food', 'increased sustainability of agriculture practices', 'increased awareness of nbs and their benefits']","The charitable organization ANNALINDE gGmbH has acquired the spaces on which the interventions are implemented. Everything is done in close exchange with residents, neighbours and interested citizens who are not only co-managers of all initiatives, but also participants in workshops or labs and therefore active learners from experiences provided. In addition to that, other institutions are indirectly involved through funding (local government) or cooperation (i.e. schools, kindergartens, civic society movements)",unknown,urban
Anti-smog Educational Garden in Kraków,"The initiative created the first anti-smog garden in the city around a local school. The garden serves multiple purposes including a greenhouse, a composter, air-pollution absorbing plants, a vegetable garden, houses for hedgehogs, birds and butterflies, a 'sensory' path for medicinal gymnastics, a roofed gazebo, a meteorological station and a book exchange booth. It is open to other schools, kindergartens and the general public during school working hours for educational purposes and recreation.",ongoing,Kraków,Poland,city,"['community gardens', 'institutional green space', 'air quality improvement', 'waste management', 'noise reduction', 'environmental education', 'creation of opportunities for recreation']","['smog', 'lack of green institutional space', 'urban dust and noise']",['recreation and exercise'],"['improved air quality', 'improved waste management', 'reduced noise exposure', 'increased conservation or restoration of ecosystems', 'increased number of species present', 'increased involvement of locals in the management of green spaces', 'increased access to healthy/affordable food', 'gain in activities for recreation and exercise', 'increased knowledge of locals about local nature', 'increased awareness of nbs and their benefits']",The school developed the project proposal and applied for funds from the City Council. The project is led by non-government actors and involves public sector institutions and citizens.,unknown,urban
APEC Sculpture Park,"The APEC Park was constructed in 2017 as a cultural work preserving the unique cultural features of 21 economies of the Asia-Pacific Economic Cooperation. In 2020, the Danang local government decided to expand the park to increase trees and green space in public parks and residential areas. The park comprises a public park, a stroll garden, a main stage, a water fountain, a playground for children, green areas, a parking space, a lake and underground public toilets. The park also aims to increase the number of native trees and shrubs.",completed,"Binh Hien Ward, Hai Chau District, Da Nang City",Vietnam,neighborhood,"['public park', 'green space', 'native trees and shrubs']","['green space creation and/or management', 'health and well-being', 'economic development and employment']",['recreation'],['increased green space area'],The project is solely conducted by the municipal government through the Da Nang Infrastructure Construction and Urban Development Project Management Board.,unknown,urban
Appletree Allotment and Community Garden,"Appletree is an outdoor community resource in Wakefield, United Kingdom, where people of all ages and from all walks of life, get together to grow fruit, and contribute to developing and maintaining the area. The community is constantly planting and regenerating areas of the garden. The project also offers community harvest, basic gardening courses, and runs special projects with schools and local businesses.",ongoing,"Agbrigg, Wakefield",United Kingdom,site,"['community gardens and allotments', 'green space creation and/or management', 'sustainable production']","['green space, habitats and biodiversity', 'social justice, cohesion and equity', 'health and well-being', 'sustainable consumption and production']","['improving physical health', 'creation of opportunities for recreation']","['increased green space area', 'increased number of species present', 'increase in agricultural production', 'improved social cohesion', 'increased access to healthy/affordable food', 'improved physical health', 'improved mental health', 'gain in activities for recreation and exercise', 'promotion of cultural diversity', 'improvement in people’s connection to nature', 'increased awareness of flora and fauna as culturally and historically meaningful', 'increased appreciation for natural spaces', 'increased support for education and scientific research', 'increased knowledge of locals about local nature', 'increased awareness of nbs and their benefits']","Appletrees allotment and community garden is a governmental organization (and allotment committee), where Wakefield Council’s Street Scene Services is responsible for the management of allotments. The organization includes citizens, volunteers and corporates with local schools and businesses in projects.",unknown,urban
Arcadia Nursery garden and building,"The Arcadia nursery is a new building located at the King’s Buildings Campus, Edinburgh and owned by the University of Edinburgh. The project promotes ideas of free play and includes elements of forest schools and natural play within the garden. It mixes indoor and outdoor play areas, and children can move between the eco-friendly building and a specially landscaped garden.",completed,"King’s Buildings Campus, Edinburgh",United Kingdom,site,"['green playgrounds and school grounds', 'parks and urban forests', 'community gardens and allotments']","['green space, habitats and biodiversity', 'green space creation and/or management', 'social justice, cohesion and equity', 'environmental education', 'health and well-being', 'enabling opportunities for physical activity', 'improving physical health', 'creation of opportunities for recreation', 'sustainable consumption']",['improving physical health'],"['increased green space area', 'increase in protected green space areas', 'increased perception of safety', 'improved access to urban green space', 'gain in activities for recreation and exercise', 'improvement in people’s connection to nature', 'increased support for education and scientific research']","The main Client was the University of Edinburgh while other roles were: Mansell plc (Contractor), ERZ (Landscape Architect); Malcolm Fraser Architects (Architect); AED (Structural Engineer); HarleyHaddow (Building Services); Blebo Consultants (Arboricultural Clerk of Works); Applied Ecology (Ecologist)",unknown,urban
Archa House of Seniors Vegetative Roof,This project involves the creation of vegetation on buildings to mitigate the effects of climate change in cities due to urban overheating. It targets the residents of the Archa House of Seniors in Bratislava as part of the citywide project “Bratislava is preparing for climate change”. The roof's main function is buffering the discharge of excess rainwater.,completed,Bratislava,Slovakia,city,"['vegetation on buildings', 'urban overheating mitigation', 'rainwater discharge buffering']","['climate change', 'urban overheating', 'excess rainwater']","['improving mental health', 'improving physical health']","['lowered local temperature', 'reduced noise exposure', 'improved stormwater management', 'increased green space area', 'increased number of species present', 'reduced financial cost for urban management', 'improved liveability', 'improved access to urban green space', 'improved physical health', 'improved mental health']","Bratislava City Office provides overall coordination of the project along with relevant subsidiary city districts for specific interventions. The relevant district for this intervention is Nové Mesto. Cooperation on the project was also sought with the Bratislava Regional Conservation Association, Bratislava Water Company, City Committee of Slovak Nature and Landscape Conservation Union, City Forest in Bratislava, Comenius University in Bratislava, Nature Sciences Faculty and the Norwegian partner COWI.",unknown,urban
Archipelagos Square,"The project aims to redevelop Archipelagos Square in Cagliari, transforming it into a more functional and aesthetically pleasing environment. Key interventions include revitalizing green spaces, safeguarding native vegetation, and removing invasive species. The project also aims to improve connectivity between the city, Marina Piccola, and Poetto beach, fostering outdoor recreational activities.",ongoing,"Archipelagos Square, Cagliari",Italy,city,"['green spaces revitalization', 'native vegetation safeguarding', 'invasive species removal', 'urban redevelopment']","['unregulated use', 'informal parking lot', 'environmental degradation', 'soil degradation and loss', 'rapid urbanization', 'loss of sense of place and identity']","['improved public comfort and safety', 'enhanced pedestrian experience', 'outdoor recreational activities']","['better rainwater drainage', 'removal of architectural barriers', 'creation of accessible pathways', 'improved soil quality', 'increased protection against flooding', 'enhanced protection and restoration of coastal and marine ecosystems', 'increased conservation or restoration of ecosystems', 'increased conversion of degraded land or soil', 'increased number of species present', 'increased protection of threatened species', 'improved prevention or control of invasive alien species']",Municipality of Cagliari and RTP Antonio Sebastiano Gaias,unknown,urban
