title,summary,status,location_name,country,scale,solution_types,challenges_addressed,health_linkages_primary,impacts,governance,url_source,environmental_context,processed_date
CONEXUS (6.1) – Restoring Hydro-social Systems In The Southern and Northern Borders of Bogotá,"The project focuses on the challenges faced by urban-rural transition zones in the Southern and Northern borders of Bogotá, whose settlements and strategic ecosystems have been negatively impacted by urban expansion processes. The main objective is to collaboratively design nature-based solutions to restore, rehabilitate and promote the adaptive management of hydro-social systems present in peri-urban territories, tackling the consequences of urban sprawling, while increasing ecosystem services provision, resilience to climate change and ensuring a fair and equitable distribution of nature’s benefits.",unknown,Southern and Northern Borders of Bogotá,Colombia,city,"['hydro-social structures restoration', 'adaptive management of hydro-social systems']","['urban expansion', 'informality and unplanned urbanisation', 'land-use conflicts', 'socio-environmental risks', 'environmental degradation']",[],"['restoration, rehabilitation and adaptive management of water-regulating ecosystems and their hydro-social structures', 'enhanced biodiversity', 'improved water security of communities', 'increased availability of public spaces and opportunities for leisure and tourism', 'valorisation of socio-cultural and natural heritage of border territories']","Alexander von Humboldt Institute, Pontificia Universidad Javeriana, Bogotá Botanical Garden, Association of users of the Aguas Doradas community Aqueduct, Local Mayors’ Office of Usme, Local residents and community organisations, Private and public schools",https://oppla.eu/conexus/case-study/conexus-61-restoring-hydro-social-systems-southern-and-northern-borders-bogota,urban,2025-09-14 11:24:10
CONEXUS (6.1) – ‘Observatori d’agricultura urbana’: Barcelona’s Urban Agriculture Observatory,"The project involves monitoring 47 of the 189 municipal allotments in Barcelona by the Urban Allotment Observatory. The aim is to analyze the ecosystem services and socio-environmental benefits of urban allotments, linking them to the city’s green infrastructure, and enhancing the evidence-base of urban agriculture’s integrated benefits for citizens and the environment. The project also aims to establish a database of environmental and social characteristics of urban allotments.",unknown,Barcelona,Spain,city,"['urban agriculture', 'green infrastructure']","['urban biodiversity', 'sustainable agriculture practices']",['users’ health'],"['naturalisation of urban spaces', 'enhancing the biodiversity', 'boosting the agricultural productivity of urban allotments', 'promoting users’ learning and building local capacity on sustainable agriculture practices', 'building an online platform to centralise the results of the life-lab', 'ameliorating users’ health and quality of life', 'the social value of green space']",Barcelona Regional in partnership with Barcelona City Council,https://oppla.eu/conexus/case-study/conexus-61-observatori-dagricultura-urbana-barcelonas-urban-agriculture-observatory,urban,2025-09-14 11:24:10
Esőkertek Kecskeméten,"The project aims to address the problem of urban flash floods and the maintenance difficulties of green spaces due to periodic rainfall shortages. Various rain garden construction methods were tested, with the most effective solution applied to the sample areas. The project also resulted in numerous benefits beyond the targeted specific rainwater management problem.",unknown,Kecskemét,Hungary,city,['rain gardens'],"['urban flash floods', 'maintenance of green spaces']",[],"['cost-effectiveness', 'aesthetics', 'biodiversity', 'climate adaptation', 'community building']",Kecskemét Megyei Jogú Város Önkormányzata and Zöld Küldetés Egyesület,https://oppla.eu/team-hub/case-study/esokertek-kecskemeten,urban,2025-09-14 11:24:10
CONEXUS (6.1) – Enhancing urban biodiversity through learning communities in the city of Buenos Aires,"The Buenos Aires Life-Lab operates three pilot projects, each involving nature-based solutions (NbS) actions of different types and scales, to counter harmful effects of urbanisation in the Metropolitan Region of Buenos Aires (MRBA). These include air pollution, environmental degradation, habitat loss, and diminishing natural stormwater treatment functions. The Life-Lab aims to drive faster uptake of NbS, using real-life evidence to influence policymaking decisions towards a more resilient future.",unknown,Metropolitan Region of Buenos Aires,Argentina,city,"['nature-based solutions', 'green walls', 'biodiversity gardens', 'wetland restoration', 'sustainable urban drainage system']","['air pollution', 'environmental degradation', 'habitat loss', 'stormwater treatment', 'soil permeability', 'water retention']",[],"['increase of local urban biodiversity', 'restoration of urban green and blue-infrastructure', 'mitigation of environmental degradation issues', 'promoting environmental education', 'more inclusive and participatory governance processes']","University of Buenos Aires, Buenos Aires City Government, Municipality of San Martín, Consejo Nacional de Investigaciones Científicas y Técnicas, Local schools",https://oppla.eu/conexus/case-study/conexus-61-enhancing-urban-biodiversity-through-learning-communities-city-buenos-aires,urban,2025-09-14 11:24:10
"The CLEVER Way: Hamburg, Neugraben-Fischbek","The CLEVER Cities project in Hamburg, Neugraben-Fischbek aims to create a connective 'Green Corridor' to link a system of NbS interventions, establish horizontal greenery through the construction of green roofs on existing buildings, and address the topic of environmental education and connect the youth with nature. The project also aims to increase biodiversity and nature in the city, develop and implement Green Roofs and Green Facades, and design and implement multifunctional green spaces.",unknown,Neugraben-Fischbek district,Germany,city,"['green corridor', 'green roofs', 'green facades', 'multifunctional green spaces']","['increase biodiversity and nature in the city', 'urban climate improvement', 'local rain retention capacity']",[],[],unknown,https://oppla.eu/clever-cities/case-study/clever-way-hamburg-neugraben-fischbek,urban,2025-09-14 11:24:10
Greening Milan: Innovating Urban Spaces Through Nature-based Solutions,"The CLEVER Cities project in Milan aims to create a sustainable urban environment by implementing Nature-based Solutions (NbS) in the city's neighborhoods, buildings, and infrastructure. The project includes the development of public green areas, the creation of a new green hub for Tibaldi Station, and the promotion of innovative green roofs and walls. The project also emphasizes citizen involvement in the design, implementation, and maintenance of these solutions.",in-progress,Milan,Italy,city,"['green infrastructure', 'public green areas', 'green roofs and walls']","['urban regeneration', 'climate change', 'community engagement']",[],[],Municipality of Milan,https://oppla.eu/clever-cities/case-study/greening-milan-innovating-urban-spaces-through-nature-based-solutions,urban,2025-09-14 11:24:10
A talajélet biológiai sokszínűségének növelése és a fenntartható vidéki élet népszerűsítése biointenzív zöldségtermesztés keretében a Pallagvölgyi Biokertben,"The project aims to increase biodiversity and promote sustainable rural life through bio-intensive vegetable cultivation at Pallagvölgyi Biokert. The garden operates on a heterogeneous area, part of which is an abandoned pasture and part of which has been cultivated. The project also aims to promote rural livelihoods and food self-determination, develop local solutions to the national problem of green waste disposal, and stimulate local ecological knowledge.",ongoing,"Pallagvölgyi Biokert, Kóspallag",Hungary,site,"['bio-intensive vegetable cultivation', 'green waste disposal', 'ecological knowledge stimulation']","['biodiversity loss', 'green waste disposal', 'rural livelihoods']",[],"['increased biodiversity', 'promotion of sustainable rural life', 'green waste disposal']",Pallagvölgyi Biokert,https://oppla.eu/team-hub/case-study/talajelet-biologiai-sokszinusegenek-novelese-es-fenntarthato-videki-elet-nepszerusitese,agricultural,2025-09-14 11:24:10
IZMIR (TURKEY) – RE-NATURING URBAN PLAN WITH NbS,"Izmir, a Turkish city with a population of roughly 4,000,000, is implementing a re-naturing urban plan. The interventions will focus mainly on creating green corridors and decreasing the city’s temperatures. The project includes the installation of a new urban green cycle route, arboreal interventions, water interventions, and singular green infrastructures. The project also includes non-technical interventions such as educational activities and citizen engagement.",planned,Izmir,Turkey,city,"['green corridors', 'urban green cycle route', 'arboreal interventions', 'water interventions', 'singular green infrastructures', 'educational activities', 'citizen engagement']","['climate mitigation and adaptation', 'water management', 'coastal resilience', 'green space management', 'urban regeneration', 'social justice and social cohesion', 'public health and well-being', 'new economic opportunities and green jobs']","['reduced heat stress', 'improved air quality']","['reduction of co2 level to 46 tons of co2 equivalent per year', 'reduction of the influenced area’s ambient temperature by 3 to 5°c during summer', 'capture of co2 and sequestration of an estimated amount of 36 tons of co2 equivalent per year', 'increase in biodiversity', 'capture of 165 tons of water per year', 'prevention of flash floods', 'increase in water retention capacity', 'reduction of the ambient temperature by 2 to 4°during summer', 'reduction of 1.05 tons of co2 equivalent and 0.4 tons of no2 equivalent level per year', 'reduction of the heat island effect by 1.5°c', 'increase in pollinator activity by 45%', 'reduction of the risk of flooding', 'enhancement of the green cover by 75%', 'reduction of the ambient temperature by 2 to 4°c', 'reduction of the organic gas evaporative emissions and nox emissions by 2% and by less than 1% respectively', 'reduction of the heat of the surface by 10°c', 'production of 7.5 tons of water per year']",Project Coordinator CARTIF Technology Centre Raúl Sánchez rausan@cartif.es Communication secretariat Fondazione ICONS Alice De Ferrari alice.deferrari@icons.it,https://oppla.eu/urban-greenup/case-study/izmir-turkey-re-naturing-urban-plan-nbs,urban,2025-09-14 11:24:10
"Co-Creation of an URBiNAT Healthy Corridor for Nova Gorica, Slovenia","The city of Nova Gorica is shaping its municipal strategy around the 3 main axes of the Regional Development Strategy of Northern Primorska. These objectives were incorporated in the concept of the NbS pArk and Healthy Corridor. The co-creation of the healthy corridor concept was organised to be aligned as much as possible to the methodology defined by URBiNAT. The final design was made by the University of Nova Gorica members, approved by citizens and politicians from both cities.",ongoing,Nova Gorica,Slovenia,city,['healthy corridor'],"['increasing competitiveness', 'improving the quality of life', 'sustainable environmental, spatial and infrastructural development']",['improving by being resilient and sustainable'],[],"University of Nova Gorica members, citizens and politicians from both cities",https://oppla.eu/urbinat/case-study/co-creation-urbinat-healthy-corridor-nova-gorica-slovenia,urban,2025-09-14 11:24:10
Magas természeti értékű gyepterületek megőrzése a Szenes-legelőn és más dunántúli területeken,"The project aimed to explore and test the best possible grassland management methods, ensure the ecological and economic sustainability of grassland management, and ensure access to management information for professionals. Regular biomonitoring studies were part of the program, and botanical surveys were conducted in every phase of succession for 5 years. The project was led by the Hungarian Ornithological and Nature Conservation Association, with the participation of the Duna-Dráva National Park Directorate and the Duna-Ipoly National Park Directorate.",completed,Mezőföld,Hungary,regional,"['grassland management', 'biomonitoring', 'botanical surveys']","['ecological sustainability', 'economic sustainability']",[],"['preservation of marmot and significant european plant populations', 'full-time employment of shepherds during the life project']","Hungarian Ornithological and Nature Conservation Association, Duna-Dráva National Park Directorate, Duna-Ipoly National Park Directorate",https://oppla.eu/team-hub/case-study/magas-termeszeti-erteku-gyepteruletek-megorzese-szenes-legelon-es-mas-dunantuli,agricultural,2025-09-14 11:24:10
"Co-Creation of an URBiNAT Healthy Corridor for Neder-Over-Heembeek, Brussels","The URBiNAT project aims to reconnect the social housing neighbourhoods of Neder-Over-Heembeek with the broader neighbourhood and the rest of the city, reducing socio-spatial fractures. The project is implemented through a Living Lab and is guided by the URBiNAT methodology. It involves co-creation processes, local dynamics, and synergies with local actors and internal projects.",ongoing,"Neder-Over-Heembeek, Brussels",Belgium,neighborhood,"['healthy corridor', 'urbinat nbs']","['socio-spatial fractures', 'socio-demographic developments']","['social inclusion', 'social learning about location & importance of nbs']","['developing climate change adaptation', 'improving risk management and resilience', 'developing climate change mitigation', 'more energy efficient buildings', 'reduction of energy in the production of new buildings and building materials', 'greater ecological connectivity across urban regenerated sites', 'improve connectivity and functionality of green and blue infrastructures', 'enhancing sustainable urbanisation', 'changing image of the urban environment', 'increase willingness to invest in nbs', 'provision of health benefits']","The City of Brussels, in close coordination with local and regional actors",https://oppla.eu/urbinat/case-study/co-creation-urbinat-healthy-corridor-neder-over-heembeek-brussels,urban,2025-09-14 11:24:10
Co-Creation of an URBiNAT Healthy Corridor for Siena,"The project aims to create a Healthy Corridor for the Ravacciano neighbourhood in Siena, connecting potential areas for the implementation of additional NbS to sites of potential interest within the green valley and the urban context. The main objective is to make the green spaces more viable and accessible, and to develop the neighbourhood. The project involves the co-creation process with citizens, associations, and technicians of the Municipality of Siena.",in-progress,"Ravacciano neighbourhood, Siena",Italy,neighborhood,"['healthy corridor', 'watercourse restoration']","['mobility', 'access to green areas', 'social cohesion']","['well-being', 'social interaction']","['increased accessibility to green open spaces', 'increased social interaction', 'increased well-being']","Municipality of Siena, IRIDRA Srl",https://oppla.eu/urbinat/case-study/co-creation-urbinat-healthy-corridor-siena,urban,2025-09-14 11:24:10
"Co-Creation of an URBiNAT Healthy Corridor for Nantes Nord, Nantes","The URBiNAT project in Nantes Nord aims to improve the health and well-being of the inhabitants through the co-creation of a multifunctional urban park, a walking loop, and the renaturation of the Renards stream. The project also seeks to provide access to affordable fruits and vegetables, develop active mobility, and improve access to existing parks and public spaces. The project is a part of the city's strategy to give more importance to green spaces and nature in urban renovation.",planned,"Nantes Nord, Nantes",France,neighborhood,"['urban park', 'walking loop', 'renaturation of the renards stream', 'urban agriculture']","['health and well-being', 'access to affordable fruits and vegetables', 'active mobility', 'access to parks and public spaces']","['improved well-being', 'access to affordable fruits and vegetables', 'active mobility']",[],"Nantes Métropole, Institut de Recherche en Sciences et Techniques de la Ville (IRSTV)",https://oppla.eu/urbinat/case-study/co-creation-urbinat-healthy-corridor-nantes-nord-nantes,urban,2025-09-14 11:24:10
"Co-Creation of an URBiNAT Healthy Corridor for Nadezhda, Sofia",The project focuses on building green connections and public spaces to overcome urban fragmentation. The Healthy Corridor is a pedestrian path that connects neighborhoods and the surrounding urban environment. It is planned to be built using an innovative and inclusive methodology for renovation of selected peripheral neighborhoods in seven European cities.,planned,"Nadezhda, Sofia",unknown,city,"['green connections', 'public spaces', 'pedestrian path']","['urban fragmentation', 'physical and symbolic barriers', 'environment protection', 'maintenance of inter-block spaces']",['unknown'],['unknown'],unknown,https://oppla.eu/urbinat/case-study/co-creation-urbinat-healthy-corridor-nadezhda-sofia,urban,2025-09-14 11:24:10
"Co-Creation of an URBiNAT Healthy Corridor for Campaña, Porto","In Porto city, Campanhã parish was identified as a priority area for urban regeneration aiming at a more sustainable improvement of local living conditions. The area faces socio-economic challenges aggravated by isolation, lack of accessibility, safety, and poor overall conditions of the urban space. The URBiNAT project aims to use the area's green spaces and vacant lots for urban regeneration through multifunctional nature-based solutions. The project also includes the design of a Healthy Corridor to connect strategic areas and suppress local fragmentation.",ongoing,"Campanhã, Porto",Portugal,city,"['urban regeneration', 'multifunctional nature-based solutions', 'healthy corridors']","['socio-economic challenges', 'isolation', 'lack of accessibility', 'safety', 'poor overall conditions of the urban space']","['improved local living conditions', 'increased social interaction', 'increased well-being']","['improved risk management and resilience', 'reduced drought risk', 'reduced temperature at meso or micro scale', 'carbon sequestration and storage', 'improved connectivity and functionality of green and blue infrastructures', 'increased biodiversity', 'enhanced sustainable urbanisation', 'changed image of the urban environment', 'increased awareness of nbs solution & their effectiveness and co benefits', 'increased stakeholder awareness & knowledge about nbs', 'provision of health benefits', 'social learning about location & importance of nbs']",Centro de Estudo Sociais Biopolis and Municipality of Porto,https://oppla.eu/urbinat/case-study/co-creation-urbinat-healthy-corridor-campana-porto,urban,2025-09-14 11:24:10
"Co-Creation of an URBiNAT Healthy Corridor for Høje Taastrup, Copenhagen","Høje-Taastrup Municipality is developing deprived neighborhoods with the goal of breaking down social and physical barriers. The URBiNAT project aims to improve living conditions through solutions that provide a sense of community and safety, and enable a green and healthy lifestyle. The project includes the creation of a new Community House, a passage between the Gregersens Quarter and the station, and linkages to a park.",ongoing,"Høje Taastrup, Copenhagen",Denmark,city,"['urban regeneration', 'nature-based solutions', 'green corridor']","['social isolation', 'urban deprivation']","['improved living conditions', 'sense of community', 'safety', 'green and healthy lifestyle']","['improved living conditions', 'increased social interaction', 'increased accessibility to green open spaces']","Høje-Taastrup Municipality in collaboration with inclusive citizens groups, housing associations and public-private partnerships",https://oppla.eu/urbinat/case-study/co-creation-urbinat-healthy-corridor-hoje-taastrup-copenhagen,urban,2025-09-14 11:24:10
Természetes vízmegtartás civil összefogással a Homokhátságon,"The project aims to address severe water scarcity in the Homokhátság region, one of the most drought-prone areas of the Alföld, by implementing simple water retention solutions. Local farmers have formed a civil organization to help lateral seepage of water in the soil by simply blocking the drainage channels, thus providing water to the root zone of the surrounding arable land. The project is accompanied by extensive monitoring and dissemination activities.",unknown,Homokhátság,Hungary,regional,['water retention'],['drought'],[],"['increased water retention', 'improved soil moisture', 'increased crop yield']",Dongér–Kelőér Vize Egyesület,https://oppla.eu/team-hub/case-study/termeszetes-vizmegtartas-civil-osszefogassal-homokhatsagon,agricultural,2025-09-14 11:24:10
"Nature Based-Solutions in Valencia: for a better Benicalap, greener, and more sustainable","The Grow Green project in the neighborhood of Benicalap, Valencia aims to demonstrate the potential of nature-based solutions to reduce heat stress, manage water and improve wellbeing and social cohesion. The project includes a sustainable forest, a blue green corridor, a vertical ecosystem, a green roof, a biodiversity app, and a food distribution service. The project started on 1 January 2017 and ended on 1 January 2020.",completed,"Benicalap, Valencia",Spain,neighborhood,"['sustainable forest', 'blue green corridor', 'vertical ecosystem', 'green roof', 'biodiversity app', 'food distribution service']","['heat stress', 'water management', 'wellbeing', 'social cohesion']","['reduced heat stress', 'improved wellbeing', 'social cohesion']","['reduced heat stress', 'better management of rainwater', 'improved environment for the local population', 'increased awareness and understanding of nature-based solutions']","Municipality of Valencia, Las Naves, Valencia Polytechnic University, Paisaje Transversal, Bipolaire",https://oppla.eu/growgreen/case-study/nature-based-solutions-valencia-better-benicalap-greener-and-more-sustainable,urban,2025-09-14 11:24:10
Nature-based solutions in Wroclaw: Renovated courtyards and green streets,"The project aimed to demonstrate the potential for nature-based solutions to reduce heat stress and flooding in the Olbin district of Wroclaw, Poland. It involved the renovation of seven courtyards and the creation of a green street, with interventions such as green walls, pocket parks, and thematic gardens. The project also sought to engage citizens in designing nature-based solutions and develop a strategy for their use in climate change adaptation across the city.",completed,"Olbin district, Wroclaw",Poland,neighborhood,"['renovated courtyards', 'green streets', 'green walls', 'pocket parks', 'thematic gardens', 'rainwater and snowmelt capture and collection systems', 'community garden', 'recycling materials']","['heat stress', 'flooding', 'lack of biodiversity', 'lack of awareness and understanding of nature-based solutions']","['reduced heat stress', 'improved environment for local people']","['reduced heat stress and flooding', 'improved environment for local people', 'increased awareness and understanding of nature-based solutions', 'strategic basis for further development of nature-based solutions across the city']","City of Wroclaw, WUELS (Wroclaw University of Life Sciences), ARAW (Wrocław Agglomeration Development Agency)",https://oppla.eu/growgreen/case-study/nature-based-solutions-wroclaw-renovated-courtyards-and-green-streets,urban,2025-09-14 11:24:10
Digital Beehive,"Andernach, a small city in Germany, has been transforming its public green spaces into edible greenery to support biodiversity. The Digital Beehive project aims to create healthy bee communities and preserve biodiversity. It uses sensors to measure the bee population, honey amount, humidity, air pressure, and temperature in the hive, which can help predict extreme weather events.",ongoing,Andernach,Germany,city,"['biodiversity support', 'digital beehive']","['biodiversity loss', 'extreme weather prediction']",[],[],"University of Koblenz, a local business in Andernach and a local beekeeping association",https://oppla.eu/edicitnet/case-study/digital-beehive,urban,2025-09-14 11:24:10
Community-supported Agriculture Group,"The CSA is located on a historic farm in the east of the city, covering approximately 8,000m2. The objective is to maintain a CSA initiative with 80 members, providing a special discount for low income households and social initiatives. Actions include providing a meeting space for locals to plant and harvest together, creating an example of consumer and farmer responsibility for food production, and organizing visits from local schools and kindergartens.",ongoing,east of the city,unknown,site,['community-supported agriculture'],"['poverty', 'hunger', 'inequality']",['good health and well being'],"['knowledge about production and consumption of organic produce', 'social inclusion', 'increased awareness of nbs solutions']",Museene i Akershus – MiA,https://oppla.eu/edicitnet/case-study/community-supported-agriculture-group,urban,2025-09-14 11:24:10
Linderud Community Garden,"The garden is located on a historic farm in the east of the city and covers approximately 8,000m2. The project aims to develop the communal area as a social meeting place for the local neighborhood, support the local green economy, and build a network of initiatives with different social impact. Actions include arranging community events, providing growing space to local entrepreneurs, and inviting local school children to learn about urban farming.",ongoing,Linderud,unknown,neighborhood,"['community garden', 'urban farming', 'social meeting place']","['community development', 'local green economy', 'social impact']","['social inclusion', 'well-being', 'health benefits']","['increased cultural richness and biodiversity', 'enhanced sustainable urbanisation', 'improved air quality', 'increased accessibility to green open spaces', 'increased community ownership', 'increased social interaction', 'increased stakeholder awareness about nbs', 'provision of health benefits']",Museene i Akershus – MiA,https://oppla.eu/edicitnet/case-study/linderud-community-garden,urban,2025-09-14 11:24:10
Edible Landscaping,"The project aims to maintain and integrate areas of edible urban greenery in Berlin Hellersdorf, providing spaces for community gardening, togetherness, and knowledge exchange. It involves working with a landscape architect and a housing company to integrate edible landscaping into the ongoing development of the area, including the planting of ancient fruit tree varieties in the historical Hellersdorf estate area.",ongoing,Berlin Hellersdorf,Germany,neighborhood,"['edible urban greenery', 'community gardening']","['urban development', 'community integration']","['social inclusion', 'well-being']","['increase in green open spaces', 'increase in social interaction', 'increase in stakeholder awareness & knowledge about nbs', 'increase in well-being', 'provision of health benefits']","Edible Cities Network City Team, a landscape architect, and the housing company",https://oppla.eu/edicitnet/case-study/edible-landscaping,urban,2025-09-14 11:24:10
Cemetery Conversion,"The project aims to integrate a community garden into the New St. Jacobi Cemetery in Neukölln, regenerating underused green space in the city and introducing multifunctional uses. Actions include integrating a community garden, café and shop into the cemetery, providing free guided tours, and hosting action days to involve the local community.",ongoing,"New St. Jacobi Cemetery, Neukölln",Germany,neighborhood,"['community garden', 'urban regeneration', 'multifunctional space']","['underused green space', 'urban densification']","['social inclusion', 'increased accessibility to green open spaces', 'provision of health benefits']","['creation of green jobs', 'improved air quality', 'increased biodiversity', 'increased social interaction']",the cemetery association,https://oppla.eu/edicitnet/case-study/cemetery-conversion,urban,2025-09-14 11:24:10
BeePathNet – Városi méhészet Méhbarát kerület program Budapest XII. kerületében,"The BeePathNet project, implemented by the XII. District Municipality, aims to maintain biodiversity. The Bee-Friendly District program seeks to address the problems affecting pollinating insects by creating suitable habitats for these beneficial creatures, helping to maintain biodiversity, and sensitizing the population and visitors to the district on the importance of pollinators. The municipality benefits not only the pollinating insects but also the residents of the district through the operation of the program.",completed,Budapest XII. kerület,Hungary,city,"['urban beekeeping', 'biodiversity maintenance']",['declining species and number of pollinating insects'],['improved biodiversity'],"['creation of natural habitats for pollinating insects', 'sensitization of the population and visitors to the district on the importance of pollinators']",XII. District Municipality,https://oppla.eu/team-hub/case-study/beepathnet-varosi-meheszet-mehbarat-kerulet-program-budapest-xii-keruleteben,urban,2025-09-14 11:24:10
Ruzsa: Alkalmazkodás az éghajlatváltozáshoz szürkevíz visszatartással a Homokhátságon,"The project aims to adapt to climate change by retaining greywater in Ruzsa, located in Hungary's driest region. It involves the creation of two ponds to retain waste water that was previously drained, thus addressing water scarcity and reducing vulnerability to climate change. The project also aims to create aquatic habitats and improve local microclimate.",completed,"Ruzsa, Csongrád-Csanád",Hungary,city,"['greywater retention', 'creation of aquatic habitats', 'improvement of local microclimate']","['drought', 'climate change', 'water scarcity']",[],"['creation of aquatic habitats', 'improvement of local microclimate', 'increased biodiversity']","Ruzsa Municipality in partnership with the Ministry of Interior, the Ministry of Innovation and Technology, and various associated beneficiary partners",https://oppla.eu/team-hub/case-study/ruzsa-alkalmazkodas-az-eghajlatvaltozashoz-szurkeviz-visszatartassal-homokhatsagon,agricultural,2025-09-14 11:24:10
Crop Wild Relatives,"NordGen is working with Crop Wild Relatives (CWRs) in two different projects to address future challenges on food security, adaptation to climate change, and sustainable environmentally friendly agriculture. The projects involve studying the unique adaptations of CWRs in the Nordic region to facilitate the adaptation of crops to local conditions. A possible continuation of the works is currently being investigated.",ongoing,Nordic region,unknown,regional,"['restoring ecosystems and their functions', 'developing climate change adaptation']","['food security', 'climate change', 'sustainable environmentally friendly agriculture']",[],"['address future challenges on food security', 'adaptation to climate change', 'sustainable environmentally friendly agriculture']",NordGen,https://oppla.eu/nordic-hub/case-study/crop-wild-relatives,agricultural,2025-09-14 11:24:10
Erosion Protection with Nature-based Solutions in Norway,"The Norwegian Institute for Bioeconomy aims to prevent erosion by strengthening slopes and edges with nature-based solutions. The project seeks to improve local environmental conditions, increase water quality and biodiversity in streams and rivers. The project will also investigate vegetation establishment and costs, measure the effects on biodiversity and compare them with traditional grey methods.",planned,Gjerdrum municipality,Norway,unknown,['nature-based solutions'],"['erosion', 'reduced biodiversity', 'water quality']",[],"['prevent erosion', 'improve local conditions', 'increase water quality', 'increase biodiversity']",NIBIO Norwegian Institute of Bioeconomy Research,https://oppla.eu/nordic-hub/case-study/erosion-protection-nature-based-solutions-norway,unknown,2025-09-14 11:24:10
Multifunctional Wetlands in Åland,"The Nordic Council of Ministers programme is financing a project in Åland to improve four multifunctional wetlands for better water quality, sustainable food production, climate adaptation and increased biodiversity. The project was initiated due to declining water quality in Åland lakes and streams, primarily due to pollution from agricultural land. The project, run by Ålands Vatten, aims to improve water quality, prevent floods, and increase biodiversity.",ongoing,Åland,unknown,regional,"['multifunctional wetlands', 'sustainable food production', 'climate adaptation', 'biodiversity increase']","['water quality', 'sustainable food production', 'climate adaptation', 'biodiversity']",[],"['improve water quality', 'prevent floods', 'increase biodiversity']",Ålands Vatten,https://oppla.eu/nordic-hub/case-study/multifunctional-wetlands-aland,wetland,2025-09-14 11:24:10
More Nature - Less Waste,"The Danish project “More Nature - Less Waste” is one of the eight pilot projects funded by the Nordic Council of Ministers. The project, led by Renosyd, aims to build 21 brush fences in Denmark in collaboration with local schools in two municipalities. The fences are filled with garden branches, providing living conditions for various species and reducing garden waste.",unknown,Denmark,Denmark,unknown,['nature-based solutions'],"['waste', 'co2 emissions', 'biodiversity loss']",[],"['combat waste', 'reduce co2 emissions', 'improve biodiversity in urban areas']",Renosyd,https://oppla.eu/nordic-hub/case-study/more-nature-less-waste,urban,2025-09-14 11:24:10
Stream and Watershed Restoration in Finland,"The Finnish Wildlife Service organization Metsähallitus, with support from the Nordic Council of Ministers, is restoring the entire watershed area around the Mätäsoja Stream in Finland. The project aims to promote the region’s biodiversity and mitigate climate change by removing carbon from the atmosphere and storing it in restored peatlands. The project will also improve the network of protected areas and develop the sustainable managements of forestry land.",unknown,Mätäsoja Stream,Finland,watershed,"['peatland restoration', 'stream restoration', 'ecosystem restoration', 'climate change mitigation', 'climate change adaptation', 'risk management and resilience', 'multi-functional nature-based watershed management', 'carbon sequestration']","['biodiversity loss', 'climate change']",[],"['mitigating climate change', 'increase biodiversity']",Metsähallitus Wildlife Service Finland in cooperation with the University of Oulu,https://oppla.eu/nordic-hub/case-study/stream-and-watershed-restoration-finland,unknown,2025-09-14 11:24:10
Multifunctional Land Distribution in Denmark,"The project aims to develop a comprehensive plan for Holmehave in Assens municipality, Denmark, using multifunctional land distribution for afforestation, nature, and wetlands. It involves taking out approx. 300 hectares of agricultural land for new forest and nature, and establishing a new wetland of 150 ha. The project also aims to improve outdoor life for locals, establish continuous path systems, and improve the zoning of agricultural properties.",in-progress,"Holmehave, Assens municipality",Denmark,regional,"['afforestation', 'wetlands', 'nature']","['groundwater protection', 'water environment improvement', 'biodiversity increase', 'greenhouse gas reduction', 'flooding risk reduction', 'outdoor life improvement', 'agricultural property zoning improvement']",[],"['improve water environment', 'increase biodiversity', 'afforestation', 'reduce co2', 'retain nitrogen', 'reduce the risk of flooding', 'improve outdoor life in the area', 'improve the zoning of agricultural properties']","Assens municipality, VandCenter Syd and Hedeselskabet",https://oppla.eu/nordic-hub/case-study/multifunctional-land-distribution-denmark,agricultural,2025-09-14 11:24:10
Biodiversity in Urban and Coastal Areas in Iceland,"The Nature-based solutions in the Nordic region programme has allocated 650,000 DKK to a pilot project in Iceland that aims to increase biodiversity in Reykjavík. The project, named 'Nature-based solutions: Crop wild relative biodiversity in urban green and coastal areas in Reykjavík', will provide a toolbox for genetic plant breeders working towards a sustainable and increasingly urbanized agriculture for local food production.",unknown,Reykjavík,Iceland,city,"['urban green', 'coastal areas']","['sustainable urbanization', 'climate change adaptation', 'risk management and resilience', 'urban regeneration', 'coastal resilience']",[],"['new urban environment', 'increased biodiversity', 'toolbox for genetic plant breeders working towards a sustainable and increasingly urbanized agriculture for local food production']",Grasagarður Reykjavíkur,https://oppla.eu/nordic-hub/case-study/biodiversity-urban-and-coastal-areas-iceland,urban,2025-09-14 11:24:10
